FileName,RecordLocator,RecordId,TicketNumber,BookingDate,FailureCategory,FailureReason,TechnicalDetails,ProcessingStage,Timestamp,CanRetry,RequiredAction
"# This CSV contains all possible failure scenarios from AFB processing","","","","","","","","","","",""
"# Actual failures will be populated when processing encounters them","","","","","","","","","","",""
"# Processing completed successfully with no significant failures recorded","","","","","","","","","","",""

"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","DAP Reservation API Failures","DAP API call failed - network error","Sample technical details","1-Initial API Call","2024-11-21 12:00:00","Yes","Check API credentials/connectivity"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","DAP Reservation API Failures","DAP API call failed - authentication error","Sample technical details","1-Initial API Call","2024-11-21 12:00:00","Yes","Check API credentials/connectivity"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","DAP Reservation API Failures","DAP API call failed - invalid record locator","Sample technical details","1-Initial API Call","2024-11-21 12:00:00","Yes","Check API credentials/connectivity"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","DAP Reservation API Failures","DAP API call failed - record not found","Sample technical details","1-Initial API Call","2024-11-21 12:00:00","Yes","Check API credentials/connectivity"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","DAP Reservation API Failures","DAP API call failed - timeout","Sample technical details","1-Initial API Call","2024-11-21 12:00:00","Yes","Check API credentials/connectivity"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Non-AFB Customers (Skipped)","Non-AFB customer - no AFB customer remarks found","Sample technical details","2-AFB Customer Check","2024-11-21 12:00:00","No - Business Logic","None - Expected behavior"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Non-AFB Customers (Skipped)","Record locator has no AFB booking with AFB CUSTOMER remark","Sample technical details","2-AFB Customer Check","2024-11-21 12:00:00","No - Business Logic","None - Expected behavior"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","PNR Business API Failures","PNR Business API 404 - booking date not found","Sample technical details","3-PNR Business API","2024-11-21 12:00:00","Yes","Check booking date format/API status"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","PNR Business API Failures","PNR Business API failed - authentication error","Sample technical details","3-PNR Business API","2024-11-21 12:00:00","Yes","Check booking date format/API status"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","PNR Business API Failures","PNR Business API failed - network error","Sample technical details","3-PNR Business API","2024-11-21 12:00:00","Yes","Check booking date format/API status"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","PNR Business API Failures","PNR Business API failed - invalid booking date format","Sample technical details","3-PNR Business API","2024-11-21 12:00:00","Yes","Check booking date format/API status"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Member Info API Failures","Member Info API returned no LastName","Sample technical details","4-Member Info API","2024-11-21 12:00:00","Yes","Verify mileage plan number/API access"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Member Info API Failures","Could not retrieve member profile from API","Sample technical details","4-Member Info API","2024-11-21 12:00:00","Yes","Verify mileage plan number/API access"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Member Info API Failures","Member Info API authentication failed","Sample technical details","4-Member Info API","2024-11-21 12:00:00","Yes","Verify mileage plan number/API access"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Member Info API Failures","Member Info API network error","Sample technical details","4-Member Info API","2024-11-21 12:00:00","Yes","Verify mileage plan number/API access"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Member Info API Failures","No mileage plan number found in PNR Business data","Sample technical details","4-Member Info API","2024-11-21 12:00:00","Yes","Verify mileage plan number/API access"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Ticket Info API Failures","Ticket Info API call failed","Sample technical details","5-Ticket Info API","2024-11-21 12:00:00","Yes","Verify ticket number/API credentials"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Ticket Info API Failures","No ticket number found in payload","Sample technical details","5-Ticket Info API","2024-11-21 12:00:00","Yes","Verify ticket number/API credentials"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Ticket Info API Failures","Ticket Info API authentication failed","Sample technical details","5-Ticket Info API","2024-11-21 12:00:00","Yes","Verify ticket number/API credentials"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Ticket Info API Failures","Ticket Info API network error","Sample technical details","5-Ticket Info API","2024-11-21 12:00:00","Yes","Verify ticket number/API credentials"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Ticket Info API Failures","No base amount found in ticket data","Sample technical details","5-Ticket Info API","2024-11-21 12:00:00","Yes","Verify ticket number/API credentials"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Data Validation Failures","Invalid record locator format","Sample technical details","6-Data Validation","2024-11-21 12:00:00","No - Data Issue","Fix source data issues"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Data Validation Failures","Missing required booking date","Sample technical details","6-Data Validation","2024-11-21 12:00:00","No - Data Issue","Fix source data issues"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Data Validation Failures","Invalid ticket number format","Sample technical details","6-Data Validation","2024-11-21 12:00:00","No - Data Issue","Fix source data issues"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Data Validation Failures","Corrupted payload data","Sample technical details","6-Data Validation","2024-11-21 12:00:00","No - Data Issue","Fix source data issues"
"SAMPLE","SAMPLE123","N/A","N/A","2024-09-01","Data Validation Failures","Missing essential accrual data fields","Sample technical details","6-Data Validation","2024-11-21 12:00:00","No - Data Issue","Fix source data issues"
