SourceFile,RecordLocator,RecordId,TicketNumber,BookingDate,ProcessingStage,FailureCategory,FailureReason,TechnicalDetails,CanRetry,RequiredAction,Timestamp,OriginalName,OriginalDescription
September,JGVKEL,N/A,0272117887760,2025-09-20T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.555Z,Passenger Record 1,"Record from 9/30/2025, 8:35:06.652 PM"
September,HVEBBL,N/A,0272114809181,2025-08-17T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 5,"Record from 9/30/2025, 8:35:06.835 PM"
September,JCDOZI,N/A,0272117857012,2025-09-19T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 6,"Record from 9/30/2025, 7:08:45.229 PM"
September,LANXHD,N/A,0272118480281,2025-09-26T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 7,"Record from 9/30/2025, 7:09:02.313 PM"
September,QZPNVA,N/A,1732314385423,2025-07-09T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 8,"Record from 9/30/2025, 9:16:37.104 PM"
September,GCEFGI,N/A,0272112911766,2025-07-29T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 10,"Record from 9/30/2025, 7:37:09.625 PM"
September,UFFOAA,N/A,0272108059326,2025-06-09T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 11,"Record from 9/30/2025, 10:26:10.137 PM"
September,AETFAQ,N/A,1732315250802,2025-08-29T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 14,"Record from 9/30/2025, 10:17:52.132 PM"
September,ENPVHF,N/A,0272110735238,2025-07-07T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 15,"Record from 10/1/2025, 6:41:14.591 PM"
September,UHRKTX,N/A,0272115975590,2025-08-31T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 16,"Record from 10/1/2025, 12:03:24.523 AM"
September,NMDWJP,N/A,0272118872286,2025-09-30T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 18,"Record from 10/1/2025, 7:15:34.133 AM"
September,GIMPXF,N/A,0277331313882,2025-09-08T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 21,"Record from 10/1/2025, 12:03:56.428 AM"
September,FCUCNW,N/A,0272112561093,2025-07-25T00:00:00.0000000Z,2-AFB Customer Check,Non-AFB Customer (Expected Skip),No AFB CUSTOMER remark found in booking,Record processed successfully but is not an AFB customer,No - Business Logic,None - Expected behavior for non-business customers,2025-11-21T20:35:01.557Z,Passenger Record 22,"Record from 10/1/2025, 6:40:04.985 PM"
