PartnerRefCD,NoOfPoints,CompanyMileagePlanNumber,TransactionDate,LastName
UXHUGZ0272118403871,713,34384280,2025-09-25,ALASKA NATIVE MEDICAL CENT
FJTPTB0272120158661,556,22483355,2020-01-28,LYNDEN INC
HDLOND0272119910146,196,22483355,2025-10-10,LYNDEN INC
OKTHTR0272120072991,391,22483355,2025-08-23,LYNDEN INC
JRIGZA0272119074490,51,811362241,2024-01-18,Modivcare
NCABND0272119942932,1056,538661281,2025-10-10,Diagnostic Laboratories General
ECQVGG0272121399051,161,557611250,2021-04-10,Ferguson Enterprises
CAQDDX0272120284828,213,649517120,2025-10-14,HSTA Negotiations
ECQVGG0272121399591,161,557611250,2021-04-10,Ferguson Enterprises
CDBXHH0272121393199,161,494391306,2020-02-25,D C C M Designs dba Celina's C
NORHMV0272121096759,184,402867916,2024-02-15,Kaiser Permanente - Patient - Main Travel Dept 191026830
KDRFTG0272120646621,129,723865203,2025-10-17,Tamura Enterprises, Inc.
CEFFRV0272120899240,189,674742600,2025-10-20,Waldron Norton Lilly Intl LLC
JLPHZK0272121156835,164,707747456,2025-10-17,Office of Hawaiian Affairs
OKEHKM0272120640775,143,992455030,2025-10-17,Meadow Gold Dairies Hawaii
OKEHKM0272120640774,143,992455030,2025-10-17,Meadow Gold Dairies Hawaii
ADYHYA0272120450928,69,821639803,2025-05-29,EKOLU PRODUCTIONS LTD
WEAUCI0272121237987,171,402867916,2025-07-04,Kaiser Permanente - Patient - Main Travel Dept 191026830
LGBTRT0272121315274,134,975158575,2025-10-21,SOH House of Representatives
LUSZLN0272119145299,129,663719000,2025-10-02,The Nature Conservancy
MGKTTD0272121341089,152,626895441,2022-04-08,Hilo High School
UQQIDW0272118284134,654,936680920,2025-09-23,Hardware Hawaii
ATJEAY0272120896320,231,425865462,2019-12-02,BEK, Inc.
ATZLHD0272119007790,138,765376150,2023-10-19,Orion Construction Services
IEQZSL0272119897123,484,41815410,2020-01-28,RSA ENGINEERING
OVCOIV0272121194748,715,882158546,2025-10-03,SAUSE HABILL
HLJOTJ0272120998378,216,437287712,2025-10-21,Kaiser Permanente Travel 7
AFJUET0272119747926,171,621878526,2022-12-01,Oceanit Laboratories
WCRVRQ0272121227641,79,636801896,2020-02-14,Valley Well Drilling, LLC
GVMPIN0272121005283,360,963774464,2025-10-13,Retina Institute of Hawaii
FJQRMU0272121234059,147,465400272,2021-10-04,AECOS Inc
IICJAR0272119509285,134,943746694,2019-05-17,Title Guaranty of Hawaii
GOJMSF0272117545483,180,653652322,2019-05-15,SOH DOE Hawaii District HRRO Office
WDYRVP0272118581194,564,868650926,2022-06-22,JDH Construction Ltd
OMRROB0272121242477,175,548412491,2025-10-23,Securitas Security Services USA, Inc.
OMRROB0272121242478,175,548412491,2025-10-23,Securitas Security Services USA, Inc.
UREIOS0272120553847,222,877236964,2025-10-16,D. Suehiro Electric, Inc. 
MVWJEO0272120280822,222,619749793,2025-10-14,Zelinsky Company
MVWJEO0272120280823,222,619749793,2025-10-14,Zelinsky Company
OYTLQB0272120762026,507,69122815,2025-10-19,KOBUK VALLEY CONSULTING
CFDFOI0272120309741,286,811362241,2021-06-25,Modivcare
CJFBEN0272120612657,222,488940255,2025-10-17,Kaiser Permanete - Travel Kacie
SNLMXY0272120183937,818,64483064,2024-03-20,LONG BUILDING TECHNOLOGIES
NJNJYY0272120873795,111,811362241,2023-07-07,Modivcare
YZYBQC0272120507198,637,134791510,2025-10-16,ATS ALASKA, INC.
YWZZKR0272120207303,143,963774464,2025-10-13,Retina Institute of Hawaii
HKSHMQ0272119837501,147,756868954,2023-08-14,Pacific Security Integrations
GLHHZS0272120215224,147,963774464,2025-10-13,Retina Institute of Hawaii
JGVFLT0272119666125,2485,275320113,2025-10-08,NORTH SOUND STEVEDORING, L
ICEVXL0272120717313,194,488940255,2025-10-18,Kaiser Permanete - Travel Kacie
UNPBRJ0272120559844,414,928547594,2022-03-25,Transdev Health Solutions
KPOMEB0272120651744,147,983053875,2019-11-13,Frito Lay Hawaii
UETZND0272120202394,227,568649141,2025-10-13,Nordic PCL Construction-Execs
UNPBRJ0272120559845,414,928547594,2022-03-25,Transdev Health Solutions
NBSRGG0272120362490,152,775517794,2025-10-14,Acutron, LLC
OMRIRQ0272120642787,213,607958492,2023-09-04,Island Flooring
KVWELZ0272120557942,175,719185600,2025-10-16,Maui Oil Company, Inc.
OMRIRQ0272120642788,213,607958492,2023-09-04,Island Flooring
OBIFLG0272120641459,314,896997371,2025-05-17,Hawaiian Dredging Construction Co HEAVY
DIMOZI0272120648359,138,627199635,2025-10-17,Kaiser Permanente - Patient - Travel 5 191078486 1
UNQALJ0272120562470,147,928547594,2025-10-16,Transdev Health Solutions
KQUMBI0272120648994,175,428425605,2025-07-01,AED Institute of America
YDYRTZ0272119009447,157,821639803,2025-10-01,EKOLU PRODUCTIONS LTD
LUUBWM0272118841847,1229,935318720,2025-09-26,KS Kaipuwaiola 99
LUUBWM0272118842960,1229,935318720,2025-09-26,KS Kaipuwaiola 99
ITNJIC0272118737864,213,811362241,2023-06-25,Modivcare
DCIMLB0272118978254,196,563694655,2025-10-01,SD Construction
OHRFVI0272118145795,436,63781992,2025-09-23,GCI AVIATION
QXNDAC0272117497837,443,61774845,2021-07-22,CITY OF FAIRBANKS
NDBWJD0272118464309,489,61774845,2025-09-26,CITY OF FAIRBANKS
SCXCFK0272119568313,196,563694655,2022-01-09,SD Construction
AFLXOC0272120644990,189,488940255,2019-12-15,Kaiser Permanete - Travel Kacie
MPXVUS0272120856094,152,836865890,2025-10-14,Bow Construction Management Svc Inc
GTGEZF0272120207933,147,568649141,2025-07-19,Nordic PCL Construction-Execs
SERUQD0272120372782,286,847041506,2025-10-14,Jas W Glover Ltd
MPADLW0272120376818,286,847041506,2025-10-14,Jas W Glover Ltd
IICZLB0272119898665,819,108645261,2025-10-10,CONAM CONSTRUCTION COMPANY
ADUREJ0272119831441,273,122484821,2025-10-09,GEOTEK ALASKA, INC.
CRDXRA0272119743513,165,833477875,2025-05-31,Kaiser Permanente - Patient - Travel 6 191082026
YJZUNL0272119471865,130,510321420,2025-10-06,Armstrong Builders LLC
LUNIGS0272119139131,160,936348814,2025-10-02,Bayada Home Health Care Visits
IPDDGO0272119620139,240,809397514,2025-10-07,KCK Builders LLC
MPUTVO0272119738931,116,710631740,2025-10-08,Roman Catholic Church in the State of Hawaii
QUJCNW0272118428378,160,752991142,2025-09-25,Kaiser Permanente - Business Development 191019628
UCRNND0272119634117,315,615499916,2025-10-07,Interstate Restoration Hawaii LLC
MQYVNS0272119850291,217,448233892,2025-10-02,Dorvin D Leis Co Inc
ARSRJE0272119014855,272,854523261,2025-10-01,Affiliated Construction
CPCMRB0272119904315,333,951997653,2025-09-30,Pacific AquaScapes Inc
GNDQWG0272119833820,202,425865462,2025-10-09,BEK, Inc.
MGNJVI0272119821234,327,720764365,2025-10-01,Jayco Hawaii, Inc.
CUREOE0272119229896,157,817812041,2025-10-03,Alu Like Employment and Training
NLJFJO0272119503687,245,946222104,2023-08-01,Outrigger Hotels and Resorts:  Exec Office
EVYLZB0272119830615,254,764261842,2025-09-24,Haas Insulation
WMVVXQ0272118515672,185,940674361,2025-09-26,Kenworth Hawaii LLC
GYVEIU0272119837301,188,439700962,2022-10-01,Safway Services LLC
WMVVXQ0272118515671,185,940674361,2025-09-26,Kenworth Hawaii LLC
ARTVCC0272119625112,175,833477875,2024-11-03,Kaiser Permanente - Patient - Travel 6 191082026
WABIBT0272119734326,87,134734110,2024-10-23,GOODFELLOW BROS., INC.
FHNAKF0272118513953,357,847041506,2025-09-26,Jas W Glover Ltd
OZCEAB0272119841678,87,522762472,2025-10-09,Alpha Inc
