RecordLocator,Name,Description,BookingDate,Reason
"JGVKEL","Passenger Record 1","Record from 9/30/2025, 8:35:06.652 PM","2025-09-20T00:00:00.0000000Z","Non-AFB Customer"
"HVEBBL","Passenger Record 5","Record from 9/30/2025, 8:35:06.835 PM","2025-08-17T00:00:00.0000000Z","Non-AFB Customer"
"JCDOZI","Passenger Record 6","Record from 9/30/2025, 7:08:45.229 PM","2025-09-19T00:00:00.0000000Z","Non-AFB Customer"
"LANXHD","Passenger Record 7","Record from 9/30/2025, 7:09:02.313 PM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
"QZPNVA","Passenger Record 8","Record from 9/30/2025, 9:16:37.104 PM","2025-07-09T00:00:00.0000000Z","Non-AFB Customer"
"GCEFGI","Passenger Record 10","Record from 9/30/2025, 7:37:09.625 PM","2025-07-29T00:00:00.0000000Z","Non-AFB Customer"
"UFFOAA","Passenger Record 11","Record from 9/30/2025, 10:26:10.137 PM","2025-06-09T00:00:00.0000000Z","Non-AFB Customer"
"AETFAQ","Passenger Record 14","Record from 9/30/2025, 10:17:52.132 PM","2025-08-29T00:00:00.0000000Z","Non-AFB Customer"
"ENPVHF","Passenger Record 15","Record from 10/1/2025, 6:41:14.591 PM","2025-07-07T00:00:00.0000000Z","Non-AFB Customer"
"UHRKTX","Passenger Record 16","Record from 10/1/2025, 12:03:24.523 AM","2025-08-31T00:00:00.0000000Z","Non-AFB Customer"
"NMDWJP","Passenger Record 18","Record from 10/1/2025, 7:15:34.133 AM","2025-09-30T00:00:00.0000000Z","Non-AFB Customer"
"GIMPXF","Passenger Record 21","Record from 10/1/2025, 12:03:56.428 AM","2025-09-08T00:00:00.0000000Z","Non-AFB Customer"
"FCUCNW","Passenger Record 22","Record from 10/1/2025, 6:40:04.985 PM","2025-07-25T00:00:00.0000000Z","Non-AFB Customer"
"EXUARV","Passenger Record 24","Record from 9/30/2025, 10:37:06.107 PM","2025-08-22T00:00:00.0000000Z","Non-AFB Customer"
"SGCQZV","Passenger Record 25","Record from 10/1/2025, 4:15:49.271 AM","2025-09-18T16:36:24.0000000Z","Non-AFB Customer"
"GDASQB","Passenger Record 26","Record from 10/1/2025, 6:11:01.329 PM","2025-07-07T14:15:52.0000000Z","Non-AFB Customer"
"GFJFHZ","Passenger Record 27","Record from 10/1/2025, 7:36:20.842 AM","2025-06-16T00:00:00.0000000Z","Non-AFB Customer"
"EQXIII","Passenger Record 28","Record from 10/1/2025, 7:46:09.675 AM","2025-08-27T00:00:00.0000000Z","Non-AFB Customer"
"ORBAUI","Passenger Record 30","Record from 9/30/2025, 5:26:32.616 PM","2025-08-21T00:00:00.0000000Z","Non-AFB Customer"
"LYXVYT","Passenger Record 33","Record from 9/30/2025, 5:26:54.664 PM","2025-08-05T00:00:00.0000000Z","Non-AFB Customer"
"LHWYFN","Passenger Record 35","Record from 10/1/2025, 6:35:20.008 PM","2025-07-16T16:31:27.0000000Z","Non-AFB Customer"
"FELQZH","Passenger Record 37","Record from 9/30/2025, 5:34:05.780 PM","2025-09-26T00:00:00.0000000Z","Non-AFB Customer"
