RecordLocator,RecordId,Name,Description,BookingDate,Reason,APIError
MRGESV,N/A,Passenger Record 2,Record from 9/30/2025, 7:18:09.372 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
IFBXYP,N/A,Passenger Record 20,Record from 10/1/2025, 6:41:23.877 PM,2025-09-30T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
CYAPWW,N/A,Passenger Record 23,Record from 9/30/2025, 5:17:06.479 PM,2025-09-23T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
EGMSQE,N/A,Passenger Record 34,Record from 9/30/2025, 5:30:11.673 PM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
INQYVW,N/A,Passenger Record 46,Record from 9/22/2025, 9:40:34.367 PM,2025-09-16T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NRCANF,N/A,Passenger Record 50,Record from 9/26/2025, 8:07:03.481 AM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
UFYBPL,N/A,Passenger Record 56,Record from 9/26/2025, 4:33:05.909 AM,2025-09-18T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
UERROS,N/A,Passenger Record 57,Record from 9/26/2025, 5:07:04.946 AM,2025-09-18T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FHWRRI,N/A,Passenger Record 63,Record from 9/28/2025, 8:42:03.607 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FHWRRI,N/A,Passenger Record 64,Record from 9/28/2025, 8:42:03.758 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
EKBHSH,N/A,Passenger Record 79,Record from 9/17/2025, 6:36:17.655 PM,2025-09-15T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
WYBBWM,N/A,Passenger Record 85,Record from 9/29/2025, 8:21:05.260 AM,2025-09-28T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FHWRRI,N/A,Passenger Record 87,Record from 9/29/2025, 6:44:07.790 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FHWRRI,N/A,Passenger Record 90,Record from 9/29/2025, 6:44:07.852 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
JWVSFU,N/A,Passenger Record 91,Record from 9/29/2025, 4:32:04.330 AM,2025-09-28T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
FDHEGQ,N/A,Passenger Record 93,Record from 9/29/2025, 5:01:04.628 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
UUNLLM,N/A,Passenger Record 95,Record from 9/29/2025, 5:01:06.287 AM,2025-09-26T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
HIGYRH,N/A,Passenger Record 98,Record from 9/29/2025, 5:10:10.137 AM,2025-09-24T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
UFYBPL,N/A,Passenger Record 101,Record from 9/25/2025, 4:54:08.022 PM,2025-09-18T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
UERROS,N/A,Passenger Record 102,Record from 9/25/2025, 4:34:17.357 PM,2025-09-18T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
DUBERH,N/A,Passenger Record 105,Record from 10/1/2025, 5:03:06.757 PM,2025-09-29T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
JNIWFQ,N/A,Passenger Record 109,Record from 10/1/2025, 5:16:11.067 PM,2025-09-23T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
NKGICX,N/A,Passenger Record 113,Record from 10/1/2025, 5:16:05.169 PM,2025-09-27T00:00:00.0000000Z,PNR Business API 404: Request failed with status code 404,
